Holiday single ticket sales per year as of early November,,,,,,,,,,
11/7/2025,,,,,,,Excludes subscriptions,,,
,Reported Date,Actual Revenue,% to budget,Number of Performances,Budget,Total Seats to Sell,Seats Sold to Date,Capacity Sold to date,$ / seat,Programming
FY23,11/22/2022,"$831,304",88%,14,"$939,450"," 18,295 "," 11,706 ",64%,$71.02,"(6) Christmas Fest, (3) Messiah, (4) Elf, (1) Doo Wop"
FY24,11/6/2023,"$740,726",68%,15,"$1,086,250"," 20,562 "," 11,972 ",58%,$61.87,"(6) Christmas Fest, (3) Messiah, (4) Nightmare, (2) Muppet Christmas Carol"
FY25,11/4/2024,"$659,185",51%,16,"$1,293,000"," 22,185 "," 9,979 ",45%,$66.06,"(6) Christmas Fest, (3) Messiah, (4) Home Alone, (2) Frozen, (1) Texas Tenors"
FY26,11/5/2025,"$983,981",61%,17,"$1,620,000"," 23,922 "," 13,542 ",57%,$72.66,"(6) Christmas Fest, (3) Messiah, (4) Elf, (2) It’s a Wonderful Life, (2) Leslie Odom"
,,"Record Revenue to date and ATT to date is something to celebrate.  However, 17 performances versus 14-16 so we should normalize by looking per performance.",,,,,,,,
,,,,,,,,,,
,Reported Date,Rev/Performance,,,Budget/Performance,Capacity/Performance,Sold/Performance,OCC,ATP,
FY23,11/22/2022,"$59,379",,,"$67,104"," 1,307 ", 836 ,64%,$71.02,
FY24,11/6/2023,"$49,382",,,"$72,417"," 1,371 ", 798 ,58%,$61.87,
FY25,11/4/2024,"$41,199",,,"$80,813"," 1,387 ", 624 ,45%,$66.06,
FY26,11/5/2025,"$57,881",,,"$95,294"," 1,407 ", 797 ,57%,$72.66,
,,Per performance revenue for FY26 is best season since FY23.  Interesting to note how much Budget per performance has grown every year from FY23 to FY26…,,,,,,,,
,,"Hall capacity is +7% (not premium seats) and ATP flat from FY23 to FY26, so why is Budget per performance +42%?  Where can that come from?  ATP would need to be >$100 to achieve this.",,,,,,,,
,,,,,,,,,,
,Reported Date,% Diff vs FY24 per performance,,,,,,,,
FY23,11/22/2022,20%,,,-7%,-5%,5%,10%,15%,
FY24,11/6/2023,0%,,,0%,0%,0%,0%,0%,
FY25,11/4/2024,-17%,,,12%,1%,-22%,-23%,7%,
FY26,11/5/2025,17%,,,32%,3%,0%,-3%,17%,
,,"Looking at FY26 vs FY24, revenue is up 17% driven entirely by ATP. (ATT is flat)  Was there a lot of discounting to fill the hall FY24 and FY25?",,,,,,,,
